,ID,Value,CooX,CooY,CooZ,month
0,San_Pedro,36.06666666666666,581987.0,7466178.0,2450.0,1
1,Peine,40.52,595137.0,7380682.0,2460.0,1
2,Toconao_Exp,42.05454545454546,602387.873999999,7434809.217,2500.0,1
3,Toconao_P.,38.7,601777.0,7435573.0,2492.0,1
4,Paso_Sico,43.25,658720.0,7364239.0,4323.0,1
5,Toconao_DGAC,24.58,601775.479999999,7435529.78199999,2495.0,1
6,Chaxa,25.533333333333335,583500.0,7424261.0,2307.0,1
7,Cordillera_Sal,21.549999999999997,544617.332,7385424.18699999,2363.11599999999,1
8,KCL,24.23888888888889,561354.0,7396247.0,2307.0,1
9,LZA10-1,25.875,577260.0,7374203.0,2373.0,1
10,LZA12-1,28.6,592024.0,7417669.0,2322.0,1
11,LZA12-2,28.9,593270.0,7394869.0,2317.0,1
12,LZA12-3,30.1,589176.0,7451502.0,2359.0,1
13,LZA3-1,27.549999999999997,591181.0,7403651.0,2306.0,1
14,LZA3-2,26.525,590360.0,7408580.0,2306.0,1
15,LZA3-3,28.700000000000003,590643.0,7416257.0,2318.0,1
16,LZA7-1,28.7,591699.0,7394060.0,2312.0,1
17,LZA7-2,27.025,593914.0,7388616.0,2311.0,1
18,LZA9-1,25.499999999999996,584166.0,7379517.0,2310.0,1
19,Paso_Jama,49.86666666666667,632989.0,7464136.0,4825.0,1
20,SOP,23.3,562717.0,7403324.0,2300.0,1
21,Toconao_Q.1,46.43333333333334,621564.0,7431858.0,3990.0,1
22,Toconao_Q.4,35.73333333333334,612592.0,7438698.0,3437.0,1
0,San_Pedro,42.93333333333334,581987.0,7466178.0,2450.0,2
1,Peine,42.06,595137.0,7380682.0,2460.0,2
2,Socaire,21.4,613092.0,7390963.0,3251.0,2
3,Toconao_Exp,43.46,602387.873999999,7434809.217,2500.0,2
4,Toconao_P.,38.2,601777.0,7435573.0,2492.0,2
5,Paso_Jama,56.15,632989.0,7464136.0,4825.0,2
6,Paso_Sico,46.15,658720.0,7364239.0,4323.0,2
7,Toconao_DGAC,30.660000000000004,601775.479999999,7435529.78199999,2495.0,2
8,Toconao_Q.1,57.05,621564.0,7431858.0,3990.0,2
9,Toconao_Q.4,53.65,612592.0,7438698.0,3437.0,2
10,Chaxa,30.950000000000006,583500.0,7424261.0,2307.0,2
11,Cordillera_Sal,32.9,544617.332,7385424.18699999,2363.11599999999,2
12,KCL,29.794444444444448,561354.0,7396247.0,2307.0,2
13,LZA10-1,37.625,577260.0,7374203.0,2373.0,2
14,LZA12-1,43.925,592024.0,7417669.0,2322.0,2
15,LZA12-2,44.224999999999994,593270.0,7394869.0,2317.0,2
16,LZA12-3,43.175,589176.0,7451502.0,2359.0,2
17,LZA3-1,37.4,591181.0,7403651.0,2306.0,2
18,LZA3-2,40.8,590360.0,7408580.0,2306.0,2
19,LZA3-3,40.099999999999994,590643.0,7416257.0,2318.0,2
20,LZA7-1,43.675,591699.0,7394060.0,2312.0,2
21,LZA7-2,43.3,593914.0,7388616.0,2311.0,2
22,LZA9-1,39.875,584166.0,7379517.0,2310.0,2
23,SOP,30.185714285714287,562717.0,7403324.0,2300.0,2
0,San_Pedro,41.733333333333334,581987.0,7466178.0,2450.0,3
1,Peine,41.0,595137.0,7380682.0,2460.0,3
2,Socaire,32.3,613092.0,7390963.0,3251.0,3
3,Toconao_Exp,42.66470588235294,602387.873999999,7434809.217,2500.0,3
4,Toconao_P.,33.2,601777.0,7435573.0,2492.0,3
5,Chaxa,27.74444444444445,583500.0,7424261.0,2307.0,3
6,Cordillera_Sal,21.4,544617.332,7385424.18699999,2363.11599999999,3
7,LZA10-1,27.333333333333332,577260.0,7374203.0,2373.0,3
8,LZA12-1,29.900000000000002,592024.0,7417669.0,2322.0,3
9,LZA12-2,30.299999999999997,593270.0,7394869.0,2317.0,3
10,LZA12-3,30.0,589176.0,7451502.0,2359.0,3
11,LZA3-1,28.3,591181.0,7403651.0,2306.0,3
12,LZA3-2,27.0,590360.0,7408580.0,2306.0,3
13,LZA3-3,30.333333333333332,590643.0,7416257.0,2318.0,3
14,LZA7-1,29.96666666666667,591699.0,7394060.0,2312.0,3
15,LZA7-2,27.866666666666664,593914.0,7388616.0,2311.0,3
16,LZA9-1,27.0,584166.0,7379517.0,2310.0,3
17,Paso_Jama,47.0,632989.0,7464136.0,4825.0,3
18,Paso_Sico,35.7,658720.0,7364239.0,4323.0,3
19,Toconao_DGAC,27.139999999999997,601775.479999999,7435529.78199999,2495.0,3
20,Toconao_Q.1,45.400000000000006,621564.0,7431858.0,3990.0,3
21,Toconao_Q.4,40.4,612592.0,7438698.0,3437.0,3
22,KCL,26.588888888888892,561354.0,7396247.0,2307.0,3
23,SOP,25.928571428571423,562717.0,7403324.0,2300.0,3
0,San_Pedro,23.6,581987.0,7466178.0,2450.0,4
1,Peine,32.260000000000005,595137.0,7380682.0,2460.0,4
2,Socaire,14.8,613092.0,7390963.0,3251.0,4
3,Toconao_Exp,33.550000000000004,602387.873999999,7434809.217,2500.0,4
4,Toconao_P.,21.3,601777.0,7435573.0,2492.0,4
5,Chaxa,22.755555555555553,583500.0,7424261.0,2307.0,4
6,Cordillera_Sal,22.2,544617.332,7385424.18699999,2363.11599999999,4
7,LZA10-1,24.0,577260.0,7374203.0,2373.0,4
8,LZA12-1,27.25,592024.0,7417669.0,2322.0,4
9,LZA12-2,27.625,593270.0,7394869.0,2317.0,4
10,LZA12-3,25.825000000000003,589176.0,7451502.0,2359.0,4
11,LZA3-1,26.575,591181.0,7403651.0,2306.0,4
12,LZA3-2,24.825,590360.0,7408580.0,2306.0,4
13,LZA3-3,28.475,590643.0,7416257.0,2318.0,4
14,LZA7-1,27.975,591699.0,7394060.0,2312.0,4
15,LZA7-2,24.950000000000003,593914.0,7388616.0,2311.0,4
16,LZA9-1,24.75,584166.0,7379517.0,2310.0,4
17,Paso_Jama,30.25,632989.0,7464136.0,4825.0,4
18,SOP,21.714285714285715,562717.0,7403324.0,2300.0,4
19,Toconao_DGAC,19.12,601775.479999999,7435529.78199999,2495.0,4
20,Toconao_Q.1,29.75,621564.0,7431858.0,3990.0,4
21,Toconao_Q.4,27.75,612592.0,7438698.0,3437.0,4
22,KCL,21.447368421052634,561354.0,7396247.0,2307.0,4
0,San_Pedro,23.45,581987.0,7466178.0,2450.0,5
1,Peine,29.374999999999996,595137.0,7380682.0,2460.0,5
2,Socaire,20.4,613092.0,7390963.0,3251.0,5
3,Toconao_Exp,35.36875,602387.873999999,7434809.217,2500.0,5
4,Toconao_DGAC,20.82,601775.479999999,7435529.78199999,2495.0,5
5,Toconao_P.,25.6,601777.0,7435573.0,2492.0,5
6,Chaxa,21.461111111111116,583500.0,7424261.0,2307.0,5
7,Cordillera_Sal,11.1,544617.332,7385424.18699999,2363.11599999999,5
8,KCL,19.311111111111114,561354.0,7396247.0,2307.0,5
9,LZA10-1,20.925,577260.0,7374203.0,2373.0,5
10,LZA12-1,23.475,592024.0,7417669.0,2322.0,5
11,LZA12-2,23.55,593270.0,7394869.0,2317.0,5
12,LZA12-3,22.225,589176.0,7451502.0,2359.0,5
13,LZA3-1,24.125,591181.0,7403651.0,2306.0,5
14,LZA3-2,21.775,590360.0,7408580.0,2306.0,5
15,LZA3-3,25.525,590643.0,7416257.0,2318.0,5
16,LZA7-1,24.450000000000003,591699.0,7394060.0,2312.0,5
17,LZA7-2,21.7,593914.0,7388616.0,2311.0,5
18,LZA9-1,22.375,584166.0,7379517.0,2310.0,5
19,Paso_Jama,29.549999999999997,632989.0,7464136.0,4825.0,5
20,SOP,21.08571428571429,562717.0,7403324.0,2300.0,5
21,Toconao_Q.1,27.25,621564.0,7431858.0,3990.0,5
22,Toconao_Q.4,22.55,612592.0,7438698.0,3437.0,5
0,San_Pedro,19.3,581987.0,7466178.0,2450.0,6
1,Peine,33.324999999999996,595137.0,7380682.0,2460.0,6
2,Toconao_Exp,37.50000000000001,602387.873999999,7434809.217,2500.0,6
3,LZA3-3,28.766666666666666,590643.0,7416257.0,2318.0,6
4,Toconao_P.,27.0,601777.0,7435573.0,2492.0,6
5,Chaxa,20.52777777777778,583500.0,7424261.0,2307.0,6
6,Cordillera_Sal,16.6,544617.332,7385424.18699999,2363.11599999999,6
7,KCL,18.558823529411768,561354.0,7396247.0,2307.0,6
8,LZA10-1,22.099999999999998,577260.0,7374203.0,2373.0,6
9,LZA12-1,24.3,592024.0,7417669.0,2322.0,6
10,LZA12-2,24.55,593270.0,7394869.0,2317.0,6
11,LZA12-3,22.575000000000003,589176.0,7451502.0,2359.0,6
12,LZA3-1,26.575,591181.0,7403651.0,2306.0,6
13,LZA3-2,23.299999999999997,590360.0,7408580.0,2306.0,6
14,LZA7-1,26.700000000000003,591699.0,7394060.0,2312.0,6
15,LZA7-2,23.650000000000002,593914.0,7388616.0,2311.0,6
16,LZA9-1,24.875,584166.0,7379517.0,2310.0,6
17,Paso_Jama,37.5,632989.0,7464136.0,4825.0,6
18,Paso_Sico,44.6,658720.0,7364239.0,4323.0,6
19,SOP,21.3875,562717.0,7403324.0,2300.0,6
20,Toconao_DGAC,17.533333333333335,601775.479999999,7435529.78199999,2495.0,6
21,Toconao_Q.1,31.75,621564.0,7431858.0,3990.0,6
22,Toconao_Q.4,24.85,612592.0,7438698.0,3437.0,6
0,San_Pedro,17.05,581987.0,7466178.0,2450.0,7
1,Peine,27.566666666666663,595137.0,7380682.0,2460.0,7
2,Toconao_Exp,36.72857142857142,602387.873999999,7434809.217,2500.0,7
3,LZA3-3,24.866666666666664,590643.0,7416257.0,2318.0,7
4,Toconao_P.,13.3,601777.0,7435573.0,2492.0,7
5,Chaxa,20.50555555555556,583500.0,7424261.0,2307.0,7
6,Cordillera_Sal,23.4,544617.332,7385424.18699999,2363.11599999999,7
7,KCL,17.988235294117647,561354.0,7396247.0,2307.0,7
8,LZA10-1,20.15,577260.0,7374203.0,2373.0,7
9,LZA12-1,21.65,592024.0,7417669.0,2322.0,7
10,LZA12-2,21.625,593270.0,7394869.0,2317.0,7
11,LZA12-3,20.175,589176.0,7451502.0,2359.0,7
12,LZA3-1,24.866666666666664,591181.0,7403651.0,2306.0,7
13,LZA3-2,21.325,590360.0,7408580.0,2306.0,7
14,LZA7-1,24.35,591699.0,7394060.0,2312.0,7
15,LZA7-2,21.075,593914.0,7388616.0,2311.0,7
16,LZA9-1,22.85,584166.0,7379517.0,2310.0,7
17,Paso_Jama,34.400000000000006,632989.0,7464136.0,4825.0,7
18,Paso_Sico,36.0,658720.0,7364239.0,4323.0,7
19,SOP,18.88571428571429,562717.0,7403324.0,2300.0,7
20,Toconao_DGAC,15.283333333333331,601775.479999999,7435529.78199999,2495.0,7
21,Toconao_Q.1,28.9,621564.0,7431858.0,3990.0,7
22,Toconao_Q.4,21.9,612592.0,7438698.0,3437.0,7
0,San_Pedro,18.366666666666664,581987.0,7466178.0,2450.0,8
1,Peine,25.53333333333333,595137.0,7380682.0,2460.0,8
2,Toconao_Exp,33.65,602387.873999999,7434809.217,2500.0,8
3,Toconao_P.,8.8,601777.0,7435573.0,2492.0,8
4,Chaxa,17.468421052631573,583500.0,7424261.0,2307.0,8
5,Cordillera_Sal,11.4,544617.332,7385424.18699999,2363.11599999999,8
6,KCL,15.366666666666667,561354.0,7396247.0,2307.0,8
7,LZA10-1,15.275000000000002,577260.0,7374203.0,2373.0,8
8,LZA12-1,15.725000000000001,592024.0,7417669.0,2322.0,8
9,LZA12-2,15.5,593270.0,7394869.0,2317.0,8
10,LZA12-3,14.55,589176.0,7451502.0,2359.0,8
11,LZA3-1,17.975,591181.0,7403651.0,2306.0,8
12,LZA3-2,15.575,590360.0,7408580.0,2306.0,8
13,LZA3-3,19.325,590643.0,7416257.0,2318.0,8
14,LZA7-1,18.2,591699.0,7394060.0,2312.0,8
