,ID,CooX,CooY,CooZ,Date,Value
1106,San_Pedro,581987.0,7466178.0,2450.0,1986-08-31,38.3
1107,San_Pedro,581987.0,7466178.0,2450.0,1986-09-30,21.8
1108,San_Pedro,581987.0,7466178.0,2450.0,1986-10-31,26.5
1109,San_Pedro,581987.0,7466178.0,2450.0,1986-11-30,27.8
1110,San_Pedro,581987.0,7466178.0,2450.0,1986-12-31,31.2
1111,San_Pedro,581987.0,7466178.0,2450.0,1987-01-31,42.8
1112,San_Pedro,581987.0,7466178.0,2450.0,1987-02-28,41.0
1113,San_Pedro,581987.0,7466178.0,2450.0,1987-03-31,44.0
1114,San_Pedro,581987.0,7466178.0,2450.0,1987-04-30,22.1
1115,San_Pedro,581987.0,7466178.0,2450.0,1987-05-31,18.0
1116,San_Pedro,581987.0,7466178.0,2450.0,1987-06-30,17.8
1117,San_Pedro,581987.0,7466178.0,2450.0,1987-07-31,22.7
1118,San_Pedro,581987.0,7466178.0,2450.0,1987-08-31,11.0
1119,San_Pedro,581987.0,7466178.0,2450.0,1987-09-30,14.9
1120,San_Pedro,581987.0,7466178.0,2450.0,1987-10-31,21.4
1121,San_Pedro,581987.0,7466178.0,2450.0,1987-11-30,18.7
1122,San_Pedro,581987.0,7466178.0,2450.0,1987-12-31,22.1
1123,San_Pedro,581987.0,7466178.0,2450.0,1988-01-31,32.5
1124,San_Pedro,581987.0,7466178.0,2450.0,1988-02-29,29.3
1125,San_Pedro,581987.0,7466178.0,2450.0,1988-03-31,29.9
1126,San_Pedro,581987.0,7466178.0,2450.0,1988-04-30,25.1
1127,San_Pedro,581987.0,7466178.0,2450.0,1988-05-31,28.9
1128,San_Pedro,581987.0,7466178.0,2450.0,1988-06-30,20.8
1129,San_Pedro,581987.0,7466178.0,2450.0,1988-07-31,11.4
1130,San_Pedro,581987.0,7466178.0,2450.0,1988-08-31,5.8
1131,San_Pedro,581987.0,7466178.0,2450.0,1988-09-30,13.3
967,Peine,595137.0,7380682.0,2460.0,1988-10-31,16.8
1132,San_Pedro,581987.0,7466178.0,2450.0,1988-10-31,7.5
1207,Toconao_Exp,602387.873999999,7434809.217,2500.0,1988-10-31,17.8
968,Peine,595137.0,7380682.0,2460.0,1988-11-30,19.8
1133,San_Pedro,581987.0,7466178.0,2450.0,1988-11-30,14.6
1208,Toconao_Exp,602387.873999999,7434809.217,2500.0,1988-11-30,25.2
969,Peine,595137.0,7380682.0,2460.0,1988-12-31,32.5
1134,San_Pedro,581987.0,7466178.0,2450.0,1988-12-31,25.9
1209,Toconao_Exp,602387.873999999,7434809.217,2500.0,1988-12-31,44.6
970,Peine,595137.0,7380682.0,2460.0,1989-01-31,35.8
1135,San_Pedro,581987.0,7466178.0,2450.0,1989-01-31,32.9
1210,Toconao_Exp,602387.873999999,7434809.217,2500.0,1989-01-31,45.9
971,Peine,595137.0,7380682.0,2460.0,1989-02-28,62.4
1136,San_Pedro,581987.0,7466178.0,2450.0,1989-02-28,58.5
1211,Toconao_Exp,602387.873999999,7434809.217,2500.0,1989-02-28,67.4
972,Peine,595137.0,7380682.0,2460.0,1989-03-31,56.5
1137,San_Pedro,581987.0,7466178.0,2450.0,1989-03-31,51.3
1212,Toconao_Exp,602387.873999999,7434809.217,2500.0,1989-03-31,41.7
973,Peine,595137.0,7380682.0,2460.0,1989-04-30,48.6
1213,Toconao_Exp,602387.873999999,7434809.217,2500.0,1989-04-30,28.2
974,Peine,595137.0,7380682.0,2460.0,1989-05-31,28.2
1214,Toconao_Exp,602387.873999999,7434809.217,2500.0,1989-05-31,29.8
975,Peine,595137.0,7380682.0,2460.0,1989-06-30,41.9
1215,Toconao_Exp,602387.873999999,7434809.217,2500.0,1989-06-30,31.3
976,Peine,595137.0,7380682.0,2460.0,1989-07-31,37.4
1216,Toconao_Exp,602387.873999999,7434809.217,2500.0,1989-07-31,22.7
977,Peine,595137.0,7380682.0,2460.0,1989-08-31,30.5
