,ID,Value,CooX,CooY,CooZ,month
0,Lluvia Pampa Colorada,-5.06,656771.823147,7357220.40082,4426.0,1
1,Lluvia Tuyajto,-2.23,643219.32552,7351215.14471,4040.0,1
2,NIEVE-2,-1.84,632692.259083,7346521.1145,3900.0,1
3,Rain at Peine,-8.727500000000001,595100.58022,7380690.97758,2381.0,1
4,Precip from Tilocalar,-5.237007,584483.156078,7368065.59562,2438.0,1
5,Rain at Peine house,-2.558848,595101.066896,7380687.43122,2375.0,1
6,Rain north of Tilomonte Creek,-6.523142,590643.746215,7370959.17242,2345.0,1
7,Rain on TPB5 road,-6.280604,576887.215284,7384275.23849,2300.0,1
8,Rain on salar from S line road,-0.21518,572133.052927,7382875.28898,2300.0,1
9,Tilocalar rain,-4.810566,584647.209962,7368244.00726,2465.0,1
10,Toconao,-7.50994,602345.0,7434865.0,2516.0,1
11,LLUVIA CAMAR,-4.37,606675.0,7411240.0,2700.0,1
12,LLUVIA TOCONAO,-5.19,602427.0,7434737.0,2500.0,1
13,LZA3-1,-0.933977,590919.0,7403566.0,2305.0,1
14,ALMA,-6.475485,629027.0,7451565.0,5064.0,1
15,Chaxa,-4.800548,583503.0,7424258.0,2307.0,1
16,Tatio,-6.765609,601280.0,7527955.0,4310.0,1
0,Lluvia Pampa Colorada,-7.9,656771.823147,7357220.40082,4426.0,2
1,Lluvia Tuyajto,-6.32,643219.32552,7351215.14471,4040.0,2
2,NIEVE-2,-6.44,632692.259083,7346521.1145,3900.0,2
3,Tom-,-2.76,594404.0,7480449.0,3223.0,2
4,Tom-3,-8.61,606862.0,7466101.0,3380.0,2
5,TUI07,-10.86,644378.72944,7359684.93726,4616.0,2
6,KCl,-8.34686,561356.0,7396255.0,2308.0,2
7,LZA3-1,-10.413971,590919.0,7403566.0,2305.0,2
8,LZA9-1,-10.848714,584309.0,7380451.0,2306.0,2
9,Toconao,-6.590398,602345.0,7434865.0,2516.0,2
10,Chaxa,-3.710449,583503.0,7424258.0,2307.0,2
0,n_16,-8.77,600429.7,7527110.69,4290.0,3
1,Lluvia Pampa Colorada,-10.31,656771.823147,7357220.40082,4426.0,3
2,NIEVE-2,-5.71,632692.259083,7346521.1145,3900.0,3
3,NIEV-1,-11.0,616825.34,7464166.45,4222.0,3
4,NIEV-2,-10.2,620175.67,7464881.97,4505.0,3
5,NIEV-3,-11.1,623533.01,7465415.48,4686.0,3
6,NIEV-4,-13.2,634795.13,7461345.74,4803.0,3
7,Tom-,-6.155,594404.0,7480449.0,3223.0,3
8,Tom-6,-5.36,619149.0,7464912.0,4047.0,3
9,TUI07,-15.16,644378.72944,7359684.93726,4616.0,3
10,TUI08,-12.23,638395.035859,7351023.58138,3954.0,3
11,P-2,-8.0,603583.0,7401666.0,2576.0,3
12,Toconao,-5.584136,602345.0,7434865.0,2516.0,3
13,Chaxa,-6.474324,583503.0,7424258.0,2307.0,3
14,R5_01032019_(P5),-13.3,618136.0,7357929.0,4022.0,3
0,Tom-2,-5.27,612594.0,7465258.0,3901.0,4
1,P-4,-13.3,618669.0,7387433.0,3667.0,4
2,LZA3-1,-5.178604,590919.0,7403566.0,2305.0,4
3,LZA9-1,-6.41443,584309.0,7380451.0,2306.0,4
0,Rain at Peine,-18.920845849638248,595100.58022,7380690.97758,2381.0,5
1,Rain on Salar,-11.6086925,577043.228712,7367562.38917,2326.219512,5
2,Socaire snow,-9.01906,617420.042174,7387869.3882,3615.54878,5
3,TUI07,-12.52,644378.72944,7359684.93726,4616.0,5
4,TUI08,-11.14,638395.035859,7351023.58138,3954.0,5
5,Toconao,-7.904026,602345.0,7434865.0,2516.0,5
6,R5_01032019_(P5),-12.7,618136.0,7357929.0,4022.0,5
0,Chaxa,-11.365764,583503.0,7424258.0,2307.0,6
1,KCl,-13.396131,561356.0,7396255.0,2308.0,6
2,LZA3-1,-13.275528,590919.0,7403566.0,2305.0,6
3,Toconao,-11.472341,602345.0,7434865.0,2516.0,6
0,P-2_3-A,-12.6,606969.0,7395952.0,2854.0,7
1,P-3,-13.4,613271.0,7390766.0,3277.0,7
2,P-3_4-A,-14.4,615056.0,7388512.0,3470.0,7
3,P-4,-14.1,618669.0,7387433.0,3667.0,7
4,P-4_5-A,-15.2,617835.0,7372682.0,3858.0,7
5,R5_01032019_(P5),-14.6,618136.0,7357929.0,4022.0,7
0,Chaxa,-3.055886,583503.0,7424258.0,2307.0,8
1,LZA3-1,-2.828467,590919.0,7403566.0,2305.0,8
2,LZA9-1,-7.70673,584309.0,7380451.0,2306.0,8
3,Toconao,-3.029864,602345.0,7434865.0,2516.0,8
4,KCl,-7.3958675,561356.0,7396255.0,2308.0,8
0,Toconao,-8.1,602345.0,7434865.0,2516.0,9
1,TUI08,-15.65,638395.035859,7351023.58138,3954.0,9
2,KCl,2.45613,561356.0,7396255.0,2308.0,9
3,LZA3-1,-0.352334,590919.0,7403566.0,2305.0,9
0,Near pass to MandM,-10.012981,622936.85689,7374221.38924,4226.0,10
1,LZA9-1,-0.830306,584309.0,7380451.0,2306.0,10
2,LZA3-1,-6.73461,590919.0,7403566.0,2305.0,10
0,ALMA,-8.201566,629027.0,7451565.0,5064.0,11
1,Jama,-10.733521,702314.0,7428940.0,4096.0,11
2,Tatio,-8.488226,601280.0,7527955.0,4310.0,11
0,TUI07,-14.38,644378.72944,7359684.93726,4616.0,12
1,ALMA,-3.569606,629027.0,7451565.0,5064.0,12
2,Jama,-2.256644,702314.0,7428940.0,4096.0,12
3,Tatio,-5.137206,601280.0,7527955.0,4310.0,12
