,ID,CooX,CooY,CooZ,Date,Value
89,n_16,600429.7,7527110.69,4290.0,2002-03-31,-57.6
29,Lluvia Pampa Colorada,656771.823147,7357220.40082,4426.0,2004-01-31,-21.7
32,Lluvia Tuyajto,643219.32552,7351215.14471,4040.0,2004-01-31,-8.8
38,NIEVE-2,632692.259083,7346521.1145,3900.0,2004-01-31,0.4
30,Lluvia Pampa Colorada,656771.823147,7357220.40082,4426.0,2004-03-31,-64.9
39,NIEVE-2,632692.259083,7346521.1145,3900.0,2004-03-31,-36.9
31,Lluvia Pampa Colorada,656771.823147,7357220.40082,4426.0,2005-02-28,-43.0
33,Lluvia Tuyajto,643219.32552,7351215.14471,4040.0,2005-02-28,-32.9
40,NIEVE-2,632692.259083,7346521.1145,3900.0,2005-02-28,-36.7
82,Tom-,594404.0,7480449.0,3223.0,2009-02-28,-6.9
84,Tom-,594404.0,7480449.0,4423.0,2009-02-28,-24.2
87,Tom-3,606862.0,7466101.0,3380.0,2009-02-28,-61.7
34,NIEV-1,616825.34,7464166.45,4222.0,2009-03-31,-67.3
35,NIEV-2,620175.67,7464881.97,4505.0,2009-03-31,-64.1
36,NIEV-3,623533.01,7465415.48,4686.0,2009-03-31,-71.4
37,NIEV-4,634795.13,7461345.74,4803.0,2009-03-31,-92.7
83,Tom-,594404.0,7480449.0,3223.0,2009-03-31,-42.8
85,Tom-,594404.0,7480449.0,4423.0,2009-03-31,-30.9
88,Tom-6,619149.0,7464912.0,4047.0,2009-03-31,-23.5
86,Tom-2,612594.0,7465258.0,3901.0,2009-04-30,-31.3
72,Toconao,602345.0,7434865.0,2516.0,2011-09-30,-52.7
41,Near pass to MandM,622936.85689,7374221.38924,4226.0,2011-10-31,-60.598315
73,Toconao,602345.0,7434865.0,2516.0,2012-01-31,-53.235775
61,TUI07,644378.72944,7359684.93726,4616.0,2012-03-31,-102.5
65,TUI08,638395.035859,7351023.58138,3954.0,2012-03-31,-80.7
62,TUI07,644378.72944,7359684.93726,4616.0,2012-12-31,-98.8
53,Rain at Peine,595100.58022,7380690.97758,2381.0,2013-01-31,-66.0075
74,Toconao,602345.0,7434865.0,2516.0,2013-01-31,-51.57
54,Rain at Peine,595100.58022,7380690.97758,2381.0,2013-05-31,-139.7024682579691
57,Rain on Salar,577043.228712,7367562.38917,2326.219512,2013-05-31,-81.7782
60,Socaire snow,617420.042174,7387869.3882,3615.54878,2013-05-31,-61.908999
63,TUI07,644378.72944,7359684.93726,4616.0,2013-05-31,-79.4
