,ID,Value,CooX,CooY,CooZ,month
0,Imilac,0.0,522066.0,7327668.0,3000.0,1
1,Monturaqui,50.0,557103.126,7307450.255,3430.0,1
2,Toconao_Exp,8.020000000000001,602387.874,7434809.217,2500.0,1
3,Caspana,34.61071428571429,581126.0,7529664.0,3260.0,1
4,San_Pedro,5.8914285714285715,581987.0,7466178.0,2450.0,1
5,Socaire,21.18,613092.0,7390963.0,3251.0,1
6,Chiu-Chiu,4.2250000000000005,537415.0,7529707.0,2524.0,1
7,Conchi_E.,5.9,605954.0,7411015.0,3010.0,1
8,Chaxa,2.1823529411764704,583500.0,7424261.0,2307.0,1
9,El_Tatio,42.689743589743586,601280.0,7527955.0,4370.0,1
10,LZA10-1,0.0,577260.0,7374203.0,2309.0,1
11,LZA12-1,0.05,592024.0,7417669.0,2316.0,1
12,LZA12-2,0.0,593270.0,7394869.0,2317.0,1
13,LZA12-3,0.0,589176.0,7451502.0,2359.0,1
14,LZA3-1,0.0,591181.0,7403651.0,2306.0,1
15,LZA3-2,0.0,590360.0,7408580.0,2306.0,1
16,LZA3-3,0.15,590643.0,7416257.0,2318.0,1
17,LZA7-1,0.0,591699.0,7394060.0,2312.0,1
18,LZA7-2,0.0,593914.0,7388616.0,2311.0,1
19,LZA9-1,0.0,584166.0,7379517.0,2310.0,1
20,Peine,4.3,595137.0,7380682.0,2460.0,1
21,Planta_Rockwood,6.15,568771.0,7385238.0,2300.0,1
22,Rio_Grande,20.73571428571429,585548.0,7494766.0,3217.0,1
23,Talabre,12.304545454545455,613530.0,7421080.0,3255.0,1
24,Toconao_DGAC,7.08,599644.77,7433140.71,2495.0,1
25,Toconao_P.,12.0,601777.0,7435573.0,2492.0,1
26,Toconao_Q.1,37.7,621564.0,7431858.0,3990.0,1
27,Toconao_Q.4,30.6,612592.0,7438698.0,3437.0,1
28,Cordillera_Sal,4.7,544617.332,7385424.187,2363.116,1
29,KCL,2.3949999999999996,561354.0,7396247.0,2307.0,1
30,SOP,5.1125,562717.0,7403324.0,2300.0,1
0,Imilac,0.3,522066.0,7327668.0,3000.0,2
1,Monturaqui,24.2,557103.126,7307450.255,3430.0,2
2,Caspana,42.64230769230768,581126.0,7529664.0,3260.0,2
3,Toconao_Exp,12.922580645161291,602387.874,7434809.217,2500.0,2
4,Chiu-Chiu,2.2764705882352945,537415.0,7529707.0,2524.0,2
5,Conchi_E.,6.365116279069767,605954.0,7411015.0,3010.0,2
6,San_Pedro,13.897058823529411,581987.0,7466178.0,2450.0,2
7,Socaire,27.615384615384617,613092.0,7390963.0,3251.0,2
8,Chaxa,9.723529411764705,583500.0,7424261.0,2307.0,2
9,El_Tatio,46.782051282051285,601280.0,7527955.0,4370.0,2
10,LZA10-1,0.95,577260.0,7374203.0,2309.0,2
11,LZA12-1,3.45,592024.0,7417669.0,2316.0,2
12,LZA12-2,2.0,593270.0,7394869.0,2317.0,2
13,LZA12-3,10.9,589176.0,7451502.0,2359.0,2
14,LZA3-1,1.05,591181.0,7403651.0,2306.0,2
15,LZA3-2,7.3,590360.0,7408580.0,2306.0,2
16,LZA3-3,2.45,590643.0,7416257.0,2318.0,2
17,LZA7-1,2.55,591699.0,7394060.0,2312.0,2
18,LZA7-2,0.8000000000000002,593914.0,7388616.0,2311.0,2
19,LZA9-1,3.5,584166.0,7379517.0,2310.0,2
20,Peine,14.20909090909091,595137.0,7380682.0,2460.0,2
21,Planta_Rockwood,19.2,568771.0,7385238.0,2300.0,2
22,Rio_Grande,31.18809523809524,585548.0,7494766.0,3217.0,2
23,Talabre,26.933333333333334,613530.0,7421080.0,3255.0,2
24,Toconao_DGAC,20.04,599644.77,7433140.71,2495.0,2
25,Toconao_P.,32.2,601777.0,7435573.0,2492.0,2
26,Toconao_Q.1,48.849999999999994,621564.0,7431858.0,3990.0,2
27,Toconao_Q.4,60.199999999999996,612592.0,7438698.0,3437.0,2
28,Cordillera_Sal,3.55,544617.332,7385424.187,2363.116,2
29,KCL,5.625,561354.0,7396247.0,2307.0,2
30,SOP,2.1714285714285717,562717.0,7403324.0,2300.0,2
0,Imilac,0.9,522066.0,7327668.0,3000.0,3
1,Monturaqui,8.0,557103.126,7307450.255,3430.0,3
2,Caspana,26.66,581126.0,7529664.0,3260.0,3
3,Toconao_Exp,7.09375,602387.874,7434809.217,2500.0,3
4,Chiu-Chiu,5.72,537415.0,7529707.0,2524.0,3
5,San_Pedro,3.76,581987.0,7466178.0,2450.0,3
6,Socaire,10.656410256410256,613092.0,7390963.0,3251.0,3
7,Conchi_E.,3.083720930232558,605954.0,7411015.0,3010.0,3
8,Chaxa,3.6,583500.0,7424261.0,2307.0,3
9,Cordillera_Sal,0.0,544617.332,7385424.187,2363.116,3
10,El_Tatio,27.125641025641023,601280.0,7527955.0,4370.0,3
11,LZA10-1,0.0,577260.0,7374203.0,2309.0,3
12,LZA12-1,0.09999999999999999,592024.0,7417669.0,2316.0,3
13,LZA12-2,0.06666666666666667,593270.0,7394869.0,2317.0,3
14,LZA12-3,1.2,589176.0,7451502.0,2359.0,3
15,LZA3-1,0.0,591181.0,7403651.0,2306.0,3
16,LZA3-2,0.09999999999999999,590360.0,7408580.0,2306.0,3
17,LZA3-3,1.0666666666666667,590643.0,7416257.0,2318.0,3
18,LZA7-1,0.0,591699.0,7394060.0,2312.0,3
19,LZA7-2,0.6,593914.0,7388616.0,2311.0,3
20,LZA9-1,0.0,584166.0,7379517.0,2310.0,3
21,Peine,11.77727272727273,595137.0,7380682.0,2460.0,3
22,Planta_Rockwood,0.0,568771.0,7385238.0,2300.0,3
23,Rio_Grande,13.45952380952381,585548.0,7494766.0,3217.0,3
24,Talabre,12.604545454545455,613530.0,7421080.0,3255.0,3
25,Toconao_DGAC,4.880000000000001,599644.77,7433140.71,2495.0,3
26,Toconao_P.,0.2,601777.0,7435573.0,2492.0,3
27,Toconao_Q.1,12.8,621564.0,7431858.0,3990.0,3
28,Toconao_Q.4,2.1,612592.0,7438698.0,3437.0,3
29,KCL,7.2,561354.0,7396247.0,2307.0,3
30,SOP,3.6285714285714286,562717.0,7403324.0,2300.0,3
0,Monturaqui,3.6,557103.126,7307450.255,3430.0,4
1,Caspana,2.2666666666666666,581126.0,7529664.0,3260.0,4
2,Toconao_Exp,0.203125,602387.874,7434809.217,2500.0,4
3,Chiu-Chiu,1.125,537415.0,7529707.0,2524.0,4
4,San_Pedro,0.16666666666666666,581987.0,7466178.0,2450.0,4
5,Socaire,2.305,613092.0,7390963.0,3251.0,4
6,Conchi_E.,0.3372093023255814,605954.0,7411015.0,3010.0,4
