,ID,Value,CooX,CooY,CooZ,month
0,Monturaqui,12.35,557103.126,7307450.25499999,3430.0,1
1,San_Pedro,19.013333333333335,581987.0,7466178.0,2450.0,1
2,Caspana,12.395,581126.0,7529664.0,3260.0,1
3,Chiu-Chiu,14.871428571428572,537415.0,7529707.0,2524.0,1
4,Peine,20.23157894736842,595137.0,7380682.0,2460.0,1
5,Socaire,13.316666666666665,613092.0,7390963.0,3251.0,1
6,Toconao_Exp,18.87272727272727,602387.874,7434809.217,2500.0,1
7,Paso_Jama,4.1,632989.0,7464136.0,4825.0,1
8,Paso_Sico,8.6,658720.0,7364239.0,4323.0,1
9,Toconao_P.,20.5,601777.0,7435573.0,2492.0,1
10,Toconao_Q.1,9.2,621564.0,7431858.0,3990.0,1
11,Toconao_Q.4,13.1,612592.0,7438698.0,3437.0,1
12,El_Tatio,4.323809523809524,601280.0,7527955.0,4370.0,1
13,Toconao_DGAC,20.4,599644.77,7433140.71,2495.0,1
14,Chaxa,19.942105263157895,583500.0,7424261.0,2307.0,1
15,Cordillera_Sal,20.6,544617.332,7385424.18699999,2363.11599999999,1
16,KCL,20.625,561354.0,7396247.0,2307.0,1
17,LZA10-1,19.625,577260.0,7374203.0,2309.0,1
18,LZA12-1,18.974999999999998,592024.0,7417669.0,2316.0,1
19,LZA12-2,19.174999999999997,593270.0,7394869.0,2317.0,1
20,LZA12-3,18.825,589176.0,7451502.0,2359.0,1
21,LZA3-1,20.125,591181.0,7403651.0,2306.0,1
22,LZA3-2,19.174999999999997,590360.0,7408580.0,2306.0,1
23,LZA3-3,18.825,590643.0,7416257.0,2318.0,1
24,LZA7-1,19.125,591699.0,7394060.0,2312.0,1
25,LZA7-2,19.55,593914.0,7388616.0,2311.0,1
26,LZA9-1,20.224999999999998,584166.0,7379517.0,2310.0,1
27,SOP,20.650000000000002,562717.0,7403324.0,2300.0,1
0,Monturaqui,12.266666666666667,557103.126,7307450.25499999,3430.0,2
1,San_Pedro,19.123076923076923,581987.0,7466178.0,2450.0,2
2,Caspana,12.238888888888889,581126.0,7529664.0,3260.0,2
3,Chiu-Chiu,14.923076923076923,537415.0,7529707.0,2524.0,2
4,Peine,20.038888888888888,595137.0,7380682.0,2460.0,2
5,Socaire,13.300000000000002,613092.0,7390963.0,3251.0,2
6,Toconao_Exp,18.6,602387.874,7434809.217,2500.0,2
7,Paso_Jama,2.7,632989.0,7464136.0,4825.0,2
8,Paso_Sico,5.9,658720.0,7364239.0,4323.0,2
9,Toconao_P.,18.6,601777.0,7435573.0,2492.0,2
10,Toconao_Q.1,7.3,621564.0,7431858.0,3990.0,2
11,Toconao_Q.4,11.3,612592.0,7438698.0,3437.0,2
12,El_Tatio,4.900000000000001,601280.0,7527955.0,4370.0,2
13,Toconao_DGAC,19.9,599644.77,7433140.71,2495.0,2
14,Chaxa,19.73157894736842,583500.0,7424261.0,2307.0,2
15,Cordillera_Sal,20.4,544617.332,7385424.18699999,2363.11599999999,2
16,KCL,20.420000000000005,561354.0,7396247.0,2307.0,2
17,LZA10-1,19.0,577260.0,7374203.0,2309.0,2
18,LZA12-1,18.375,592024.0,7417669.0,2316.0,2
19,LZA12-2,18.6,593270.0,7394869.0,2317.0,2
20,LZA12-3,18.675,589176.0,7451502.0,2359.0,2
21,LZA3-1,19.65,591181.0,7403651.0,2306.0,2
22,LZA3-2,18.7,590360.0,7408580.0,2306.0,2
23,LZA3-3,18.474999999999998,590643.0,7416257.0,2318.0,2
24,LZA7-1,18.575000000000003,591699.0,7394060.0,2312.0,2
25,LZA7-2,19.139999999999997,593914.0,7388616.0,2311.0,2
26,LZA9-1,19.525000000000002,584166.0,7379517.0,2310.0,2
27,SOP,20.242857142857144,562717.0,7403324.0,2300.0,2
0,Monturaqui,11.766666666666667,557103.126,7307450.25499999,3430.0,3
1,San_Pedro,18.2,581987.0,7466178.0,2450.0,3
2,Caspana,11.819999999999999,581126.0,7529664.0,3260.0,3
3,Chiu-Chiu,14.500000000000002,537415.0,7529707.0,2524.0,3
4,Peine,19.272222222222222,595137.0,7380682.0,2460.0,3
5,Socaire,13.666666666666666,613092.0,7390963.0,3251.0,3
6,Toconao_Exp,17.366666666666667,602387.874,7434809.217,2500.0,3
7,Paso_Jama,2.9,632989.0,7464136.0,4825.0,3
8,Toconao_P.,18.7,601777.0,7435573.0,2492.0,3
9,Toconao_Q.1,7.5,621564.0,7431858.0,3990.0,3
10,Toconao_Q.4,11.5,612592.0,7438698.0,3437.0,3
11,Chaxa,18.15263157894737,583500.0,7424261.0,2307.0,3
12,Cordillera_Sal,18.7,544617.332,7385424.18699999,2363.11599999999,3
13,El_Tatio,5.016666666666667,601280.0,7527955.0,4370.0,3
14,LZA10-1,17.666666666666668,577260.0,7374203.0,2309.0,3
15,LZA12-1,17.1,592024.0,7417669.0,2316.0,3
16,LZA12-2,17.4,593270.0,7394869.0,2317.0,3
17,LZA12-3,17.466666666666665,589176.0,7451502.0,2359.0,3
18,LZA3-1,18.23333333333333,591181.0,7403651.0,2306.0,3
19,LZA3-2,17.46666666666667,590360.0,7408580.0,2306.0,3
20,LZA3-3,16.9,590643.0,7416257.0,2318.0,3
21,LZA7-1,17.26666666666667,591699.0,7394060.0,2312.0,3
22,LZA7-2,17.666666666666668,593914.0,7388616.0,2311.0,3
23,LZA9-1,18.200000000000003,584166.0,7379517.0,2310.0,3
24,Toconao_DGAC,18.92,599644.77,7433140.71,2495.0,3
25,KCL,19.395000000000003,561354.0,7396247.0,2307.0,3
26,SOP,19.314285714285713,562717.0,7403324.0,2300.0,3
0,Monturaqui,8.216666666666667,557103.126,7307450.25499999,3430.0,4
1,San_Pedro,16.164285714285715,581987.0,7466178.0,2450.0,4
2,Caspana,10.614999999999997,581126.0,7529664.0,3260.0,4
