,ID,CooX,CooY,CooZ,Date,Value
0,Caspana,581126.0,7529664.0,3260.0,1973-08-31,9.0
1946,San_Pedro,581987.0,7466178.0,2450.0,1973-08-31,11.8
1,Caspana,581126.0,7529664.0,3260.0,1973-09-30,10.4
1947,San_Pedro,581987.0,7466178.0,2450.0,1973-09-30,14.4
2,Caspana,581126.0,7529664.0,3260.0,1973-10-31,11.1
1948,San_Pedro,581987.0,7466178.0,2450.0,1973-10-31,15.2
3,Caspana,581126.0,7529664.0,3260.0,1973-11-30,12.8
1949,San_Pedro,581987.0,7466178.0,2450.0,1973-11-30,17.6
4,Caspana,581126.0,7529664.0,3260.0,1973-12-31,11.9
1950,San_Pedro,581987.0,7466178.0,2450.0,1973-12-31,17.4
5,Caspana,581126.0,7529664.0,3260.0,1974-01-31,12.9
1951,San_Pedro,581987.0,7466178.0,2450.0,1974-01-31,19.2
6,Caspana,581126.0,7529664.0,3260.0,1974-02-28,12.1
1952,San_Pedro,581987.0,7466178.0,2450.0,1974-02-28,18.4
7,Caspana,581126.0,7529664.0,3260.0,1974-03-31,10.9
1953,San_Pedro,581987.0,7466178.0,2450.0,1974-03-31,17.6
8,Caspana,581126.0,7529664.0,3260.0,1974-04-30,11.1
1954,San_Pedro,581987.0,7466178.0,2450.0,1974-04-30,15.9
9,Caspana,581126.0,7529664.0,3260.0,1974-05-31,9.0
1955,San_Pedro,581987.0,7466178.0,2450.0,1974-05-31,11.0
10,Caspana,581126.0,7529664.0,3260.0,1974-06-30,6.8
1956,San_Pedro,581987.0,7466178.0,2450.0,1974-06-30,8.2
11,Caspana,581126.0,7529664.0,3260.0,1974-07-31,7.8
1957,San_Pedro,581987.0,7466178.0,2450.0,1974-07-31,10.1
12,Caspana,581126.0,7529664.0,3260.0,1974-08-31,8.0
1958,San_Pedro,581987.0,7466178.0,2450.0,1974-08-31,10.3
2122,Socaire,613092.0,7390963.0,3251.0,1974-08-31,8.1
13,Caspana,581126.0,7529664.0,3260.0,1974-09-30,9.9
1959,San_Pedro,581987.0,7466178.0,2450.0,1974-09-30,13.0
2123,Socaire,613092.0,7390963.0,3251.0,1974-09-30,9.6
14,Caspana,581126.0,7529664.0,3260.0,1974-10-31,9.6
1960,San_Pedro,581987.0,7466178.0,2450.0,1974-10-31,13.4
2124,Socaire,613092.0,7390963.0,3251.0,1974-10-31,9.6
15,Caspana,581126.0,7529664.0,3260.0,1974-11-30,12.6
1555,Monturaqui,557103.126,7307450.25499999,3430.0,1974-11-30,11.1
1649,Peine,595137.0,7380682.0,2460.0,1974-11-30,19.4
1961,San_Pedro,581987.0,7466178.0,2450.0,1974-11-30,17.1
2125,Socaire,613092.0,7390963.0,3251.0,1974-11-30,13.0
16,Caspana,581126.0,7529664.0,3260.0,1974-12-31,12.0
1556,Monturaqui,557103.126,7307450.25499999,3430.0,1974-12-31,11.2
1650,Peine,595137.0,7380682.0,2460.0,1974-12-31,19.6
1962,San_Pedro,581987.0,7466178.0,2450.0,1974-12-31,17.6
2126,Socaire,613092.0,7390963.0,3251.0,1974-12-31,13.0
17,Caspana,581126.0,7529664.0,3260.0,1975-01-31,12.9
1557,Monturaqui,557103.126,7307450.25499999,3430.0,1975-01-31,13.7
1651,Peine,595137.0,7380682.0,2460.0,1975-01-31,20.6
1963,San_Pedro,581987.0,7466178.0,2450.0,1975-01-31,19.4
2127,Socaire,613092.0,7390963.0,3251.0,1975-01-31,14.4
18,Caspana,581126.0,7529664.0,3260.0,1975-02-28,12.4
1558,Monturaqui,557103.126,7307450.25499999,3430.0,1975-02-28,14.0
1652,Peine,595137.0,7380682.0,2460.0,1975-02-28,19.8
1964,San_Pedro,581987.0,7466178.0,2450.0,1975-02-28,18.7
2128,Socaire,613092.0,7390963.0,3251.0,1975-02-28,13.4
19,Caspana,581126.0,7529664.0,3260.0,1975-03-31,11.9
1559,Monturaqui,557103.126,7307450.25499999,3430.0,1975-03-31,10.9
1653,Peine,595137.0,7380682.0,2460.0,1975-03-31,19.8
1965,San_Pedro,581987.0,7466178.0,2450.0,1975-03-31,19.0
2129,Socaire,613092.0,7390963.0,3251.0,1975-03-31,16.3
20,Caspana,581126.0,7529664.0,3260.0,1975-04-30,9.8
1560,Monturaqui,557103.126,7307450.25499999,3430.0,1975-04-30,9.0
1654,Peine,595137.0,7380682.0,2460.0,1975-04-30,16.2
1966,San_Pedro,581987.0,7466178.0,2450.0,1975-04-30,15.8
2130,Socaire,613092.0,7390963.0,3251.0,1975-04-30,10.4
21,Caspana,581126.0,7529664.0,3260.0,1975-05-31,7.6
1655,Peine,595137.0,7380682.0,2460.0,1975-05-31,14.0
1967,San_Pedro,581987.0,7466178.0,2450.0,1975-05-31,11.1
2131,Socaire,613092.0,7390963.0,3251.0,1975-05-31,7.9
22,Caspana,581126.0,7529664.0,3260.0,1975-06-30,7.5
1656,Peine,595137.0,7380682.0,2460.0,1975-06-30,12.3
1968,San_Pedro,581987.0,7466178.0,2450.0,1975-06-30,9.3
2132,Socaire,613092.0,7390963.0,3251.0,1975-06-30,6.4
23,Caspana,581126.0,7529664.0,3260.0,1975-07-31,7.2
1561,Monturaqui,557103.126,7307450.25499999,3430.0,1975-07-31,2.6
1657,Peine,595137.0,7380682.0,2460.0,1975-07-31,11.2
1969,San_Pedro,581987.0,7466178.0,2450.0,1975-07-31,7.8
2133,Socaire,613092.0,7390963.0,3251.0,1975-07-31,5.9
24,Caspana,581126.0,7529664.0,3260.0,1975-08-31,8.3
1562,Monturaqui,557103.126,7307450.25499999,3430.0,1975-08-31,3.3
1658,Peine,595137.0,7380682.0,2460.0,1975-08-31,12.6
1970,San_Pedro,581987.0,7466178.0,2450.0,1975-08-31,9.9
2134,Socaire,613092.0,7390963.0,3251.0,1975-08-31,6.3
25,Caspana,581126.0,7529664.0,3260.0,1975-09-30,8.7
1563,Monturaqui,557103.126,7307450.25499999,3430.0,1975-09-30,4.0
1659,Peine,595137.0,7380682.0,2460.0,1975-09-30,14.0
1971,San_Pedro,581987.0,7466178.0,2450.0,1975-09-30,13.1
26,Caspana,581126.0,7529664.0,3260.0,1975-10-31,10.8
1564,Monturaqui,557103.126,7307450.25499999,3430.0,1975-10-31,8.7
1660,Peine,595137.0,7380682.0,2460.0,1975-10-31,15.0
1972,San_Pedro,581987.0,7466178.0,2450.0,1975-10-31,16.0
27,Caspana,581126.0,7529664.0,3260.0,1975-11-30,10.7
1565,Monturaqui,557103.126,7307450.25499999,3430.0,1975-11-30,9.5
1661,Peine,595137.0,7380682.0,2460.0,1975-11-30,16.5
1973,San_Pedro,581987.0,7466178.0,2450.0,1975-11-30,15.9
2135,Socaire,613092.0,7390963.0,3251.0,1975-11-30,11.9
28,Caspana,581126.0,7529664.0,3260.0,1975-12-31,12.6
1566,Monturaqui,557103.126,7307450.25499999,3430.0,1975-12-31,13.2
1662,Peine,595137.0,7380682.0,2460.0,1975-12-31,19.9
1974,San_Pedro,581987.0,7466178.0,2450.0,1975-12-31,18.8
2136,Socaire,613092.0,7390963.0,3251.0,1975-12-31,14.1
29,Caspana,581126.0,7529664.0,3260.0,1976-01-31,11.8
1567,Monturaqui,557103.126,7307450.25499999,3430.0,1976-01-31,11.7
1663,Peine,595137.0,7380682.0,2460.0,1976-01-31,18.9
1975,San_Pedro,581987.0,7466178.0,2450.0,1976-01-31,18.2
2137,Socaire,613092.0,7390963.0,3251.0,1976-01-31,13.7
30,Caspana,581126.0,7529664.0,3260.0,1976-02-29,11.5
1568,Monturaqui,557103.126,7307450.25499999,3430.0,1976-02-29,9.2
1664,Peine,595137.0,7380682.0,2460.0,1976-02-29,20.2
1976,San_Pedro,581987.0,7466178.0,2450.0,1976-02-29,18.6
2138,Socaire,613092.0,7390963.0,3251.0,1976-02-29,13.8
31,Caspana,581126.0,7529664.0,3260.0,1976-03-31,11.7
1569,Monturaqui,557103.126,7307450.25499999,3430.0,1976-03-31,12.1
1665,Peine,595137.0,7380682.0,2460.0,1976-03-31,19.8
1977,San_Pedro,581987.0,7466178.0,2450.0,1976-03-31,17.6
2139,Socaire,613092.0,7390963.0,3251.0,1976-03-31,13.8
32,Caspana,581126.0,7529664.0,3260.0,1976-04-30,10.4
1570,Monturaqui,557103.126,7307450.25499999,3430.0,1976-04-30,9.2
1666,Peine,595137.0,7380682.0,2460.0,1976-04-30,17.1
