,index,ID,CooX,CooY,CooZ,iso_18,iso_2h,prc,tmp,hmd,month
0,0,ALMA,629027.0,7451565.0,5064.0,-6.475485,-38.266772,37.763845784966016,5.267164285714284,45.218416703061145,1
1,1,Chaxa,583503.0,7424258.0,2307.0,-4.800548,-29.062801,1.747383315100851,19.835699122807004,25.697999121669174,1
2,2,LLUVIA CAMAR,606675.0,7411240.0,2700.0,-4.37,-21.77,5.7611700022305445,16.45396946912736,37.53922685141173,1
3,3,LLUVIA TOCONAO,602427.0,7434737.0,2500.0,-5.19,-23.88,8.493513358284668,19.353666438824316,37.16598610099563,1
4,4,LZA3-1,590919.0,7403566.0,2305.0,-0.933977,-5.806705,0.2992914108482931,19.85892105263157,27.5940107328968,1
5,5,Lluvia Pampa Colorada,656771.823147,7357220.40082,4426.0,-5.06,-21.7,42.21520187184753,6.033497619047618,44.13125765830829,1
6,6,Lluvia Tuyajto,643219.32552,7351215.14471,4040.0,-2.23,-8.8,41.625171213508054,7.978209523809529,43.839845652575654,1
7,7,NIEVE-2,632692.259083,7346521.1145,3900.0,-1.84,0.4,41.625171213508054,9.156659523809532,43.783068764657955,1
8,8,Precip from Tilocalar,584483.156078,7368065.59562,2438.0,-5.237007,-22.866061,4.370653498941983,19.369050877192993,33.66877543440569,1
9,9,Rain at Peine,595100.58022,7380690.97758,2381.0,-8.727500000000001,-66.0075,2.949207066303986,19.61298684210525,29.4821862127594,1
10,10,Rain at Peine house,595101.066896,7380687.43122,2375.0,-2.558848,-6.623116,2.949207066303986,19.61298684210525,29.4821862127594,1
11,11,Rain north of Tilomonte Creek,590643.746215,7370959.17242,2345.0,-6.523142,-43.842557,0.9075493447961325,18.96838157894734,28.580352904967757,1
12,12,Rain on TPB5 road,576887.215284,7384275.23849,2300.0,-6.280604,-35.757126,5.241107535618332,19.77208070175437,25.64468891583406,1
13,13,Rain on salar from S line road,572133.052927,7382875.28898,2300.0,-0.21518,0.943282,5.239485794858414,20.0425394736842,25.29214983703092,1
14,14,Tatio,601280.0,7527955.0,4310.0,-6.765609,-35.140881,39.55512387765294,8.608315573023472,36.559117286940214,1
15,15,Tilocalar rain,584647.209962,7368244.00726,2465.0,-4.810566,-31.569362,4.351809630650466,19.539605263157906,33.66877543440569,1
16,16,Toconao,602345.0,7434865.0,2516.0,-7.50994,-50.902331333333336,7.587122540498138,16.524802802460698,37.16598610099563,1
17,0,Chaxa,583503.0,7424258.0,2307.0,-3.710449,-27.804784,8.68639964012189,19.49178259109312,34.56722222222226,2
18,1,KCl,561356.0,7396255.0,2308.0,-8.34686,-57.985783,4.387633112686321,20.20833909774436,30.573867724867732,2
19,2,LZA3-1,590919.0,7403566.0,2305.0,-10.413971,-74.987205,2.8937169977332897,19.338631578947346,38.28183333333335,2
20,3,LZA9-1,584309.0,7380451.0,2306.0,-10.848714,-76.301792,6.820634460325224,19.4325983805668,37.336888888888915,2
21,4,Lluvia Pampa Colorada,656771.823147,7357220.40082,4426.0,-7.9,-43.0,40.26728782518526,5.341388888888886,49.292333333333374,2
22,5,Lluvia Tuyajto,643219.32552,7351215.14471,4040.0,-6.32,-32.9,40.39103601229362,6.3553888888888865,53.45633333333333,2
23,6,NIEVE-2,632692.259083,7346521.1145,3900.0,-6.44,-36.7,40.38384160619486,7.577055555555553,53.73333333333333,2
24,7,TUI07,644378.72944,7359684.93726,4616.0,-10.86,-73.2,40.320725604475975,4.133388888888889,52.69233333333333,2
25,8,Toconao,602345.0,7434865.0,2516.0,-6.590398,-53.201848,16.804545303358168,16.245683760683757,39.81659999999997,2
26,9,Tom-,594404.0,7480449.0,3223.0,-2.76,-15.55,32.9304960632176,13.194119658119659,35.23113333333332,2
27,10,Tom-3,606862.0,7466101.0,3380.0,-8.61,-61.7,44.39548154663871,11.793777777777779,45.238733333333315,2
28,0,Chaxa,583503.0,7424258.0,2307.0,-6.474324,-46.706537000000004,2.9999581439393963,18.11058354218883,27.363711230788613,3
29,1,Lluvia Pampa Colorada,656771.823147,7357220.40082,4426.0,-10.31,-64.9,12.665361481541732,5.3918888888888885,38.72067742763772,3
30,2,NIEV-1,616825.34,7464166.45,4222.0,-11.0,-67.3,10.115940034965037,6.342688888888887,40.806791633986926,3
31,3,NIEV-2,620175.67,7464881.97,4505.0,-10.2,-64.1,10.143237654012657,5.218133333333332,41.107495999066295,3
32,4,NIEV-3,623533.01,7465415.48,4686.0,-11.1,-71.4,10.175066523060275,4.5974444444444424,41.9586660270775,3
33,5,NIEV-4,634795.13,7461345.74,4803.0,-13.2,-92.7,10.092856701631703,4.2459999999999996,41.9586660270775,3
34,6,NIEVE-2,632692.259083,7346521.1145,3900.0,-5.71,-36.9,9.258796213476442,8.271555555555548,38.9080779878618,3
35,7,P-2,603583.0,7401666.0,2576.0,-8.0,-47.8,5.418065336020565,15.68268148148147,36.0479385480859,3
36,8,R5_01032019_(P5),618136.0,7357929.0,4022.0,-13.3,-89.4,11.443331368244172,7.339466666666663,38.9080779878618,3
37,9,TUI07,644378.72944,7359684.93726,4616.0,-15.16,-102.5,12.665361481541732,5.158777777777777,39.63286566293184,3
38,10,TUI08,638395.035859,7351023.58138,3954.0,-12.23,-80.7,11.001039803220047,6.683022222222224,38.9080779878618,3
39,11,Toconao,602345.0,7434865.0,2516.0,-5.584136,-35.543309,5.2943832188160656,15.56394814814814,37.62068173202614,3
40,12,Tom-,594404.0,7480449.0,3223.0,-6.155,-36.849999999999994,11.141409288579629,12.872799999999991,37.656322645502655,3
41,13,Tom-6,619149.0,7464912.0,4047.0,-5.36,-23.5,8.702530800788365,6.493377777777779,41.20449599906629,3
42,14,n_16,600429.7,7527110.69,4290.0,-8.77,-57.6,23.60121630036631,6.398711111111106,39.47591777777778,3
