FID,CooX,CooY,CooZ
3574,467332.7009,7991122.305,4400
3585,414815.7997,7991014.355,3600
3607,455890.7544,7990854.108,4500
3618,414612.2763,7990859.484,3600
3629,469497.9748,7990775.412,4400
3640,463809.5724,7990532.728,4400
3651,451334.9035,7990483.336,4400
3662,421977.8281,7990334.209,3700
3673,474762.2003,7990305.223,4600
3684,469443.363,7990149.599,4400
3695,469846.9168,7990034.64,4400
3706,408256.9111,7989944.166,2800
3728,416157.0031,7989968.067,3600
3739,472599.6451,7989687.24,4500
3750,465646.4918,7989652.195,4400
3761,463975.785,7989545.585,4400
3772,411488.2109,7989485.182,3300
3783,468560.3007,7989442.964,4400
3794,429890.1391,7989289.512,3300
3805,464864.9471,7989261.156,4400
3816,476004.4677,7989188.806,4500
3827,417640.756,7989094.889,3600
3838,465728.5389,7989022.736,4400
3849,433320.2157,7989082.872,3300
3860,464711.125,7988791.009,4400
3871,462831.5303,7988738.5,4400
3882,430779.2287,7988733.782,3300
3893,457484.7114,7988514.139,4600
3904,464806.3283,7988427.856,4400
3915,433395.2065,7988338.466,2900
3926,452906.371,7988619.405,4600
3937,463043.8752,7988102.179,4400
3948,420724.6661,7988212.933,3700
3959,461546.7354,7987858.213,4400
3970,463675.051,7987779.326,4400
3981,471526.9879,7987720.123,4400
4003,464685.2097,7987556.902,4400
4014,462751.9847,7987375.107,4400
4025,438977.4452,7987197.152,3300
4036,465952.6521,7987154.516,4400
4047,423364.0413,7987025.135,3500
4058,427198.4031,7987208.813,3600
4069,463881.5347,7986779.108,4400
4080,485631.0455,7986705.159,4600
4091,470167.053,7986490.442,4400
4102,464201.2992,7986370.757,4400
4113,485644.4527,7986275.245,4600
4124,411892.0911,7986097.86,3200
4135,415984.9763,7986029.856,3500
4146,426854.259,7985917.828,3500
4157,424711.0876,7985858.037,3400
4168,485440.2929,7985747.457,4600
4179,442801.0797,7985700.971,4000
4190,441404.4251,7985903.487,4000
4201,427632.149,7985603.235,3600
4212,483954.2928,7985143.503,4600
4223,467320.5436,7985043.024,4400
4234,441460.4516,7985761.628,3900
4245,458014.7775,7984525.734,4500
4256,415672.5902,7984248.043,3300
4267,454353.8956,7983948.383,4700
4278,418930.8549,7983709.524,3400
4289,415682.2265,7983449.884,3300
4300,416956.1187,7983262.171,3400
4311,461409.6226,7983105.545,4500
4322,467360.4116,7983431.839,4600
4333,403110.2214,7982532.266,2000
4344,485679.0502,7982483.31,4600
4355,452679.7886,7982442.42,4800
4366,431468.742,7982135.562,2400
4377,456827.6362,7981914.879,4500
4388,465644.0468,7981677.545,4400
4399,455320.4363,7981458.024,4600
4410,491769.0988,7983367.571,4900
4421,431938.6422,7981054.75,2500
4432,490623.6501,7983309.38,4800
4443,416936.4632,7980653.265,3300
4454,438282.6844,7980421.508,3200
4465,453663.6551,7980182.209,4700
4476,474965.719,7979953.999,4800
4487,462630.9913,7979828.07,4400
4498,489728.869,7982028.31,4700
4509,456827.8719,7979478.845,4800
4520,452115.7324,7979294.409,4700
4531,482775.6923,7979110.408,4600
4542,398633.4642,7978941.276,1600
4553,457407.1615,7978763.338,4600
4564,477621.934,7978607.457,5200
4575,386802.3675,7978309.644,1000
4586,468602.8858,7978217.99,4500
4597,479885.6794,7978211.471,4900
4608,462751.8642,7977859.962,4400
4619,450735.1173,7977667.683,4500
4630,434670.3227,7977653.744,3600
4641,389434.5311,7977449.498,1100
4652,462223.6606,7977373.859,4400
4663,462247.1249,7977231.801,4400
4674,439741.1659,7977228.16,3800
4685,460759.2018,7976967.924,4400
4696,419662.9948,7976784.22,2200
4707,486965.4712,7976659.651,4600
4718,447426.8677,7976523.908,4800
4729,481601.3908,7976592.367,4800
4740,426905.801,7976235.855,3300
